Time,OldRTT_ns,NewRTT_ns,Detection
2.03094,30941911,30941911,NoWormhole
2.10617,30941911,6171400,WormholeDetected
2.20379,25987809,3792876,WormholeDetected
2.30298,21548822,2983562,WormholeDetected
2.40448,17835770,4482182,WormholeDetected
2.50511,15165052,5111878,WormholeDetected
2.60653,13154417,6532488,WormholeDetected
2.70698,11830031,6981552,WormholeDetected
2.80665,10860335,6650932,WormholeDetected
2.90666,10018454,6659637,WormholeDetected
3.0054,9346691,5398655,WormholeDetected
3.10916,8557084,9161658,NoWormhole
3.20575,8677999,5752440,WormholeDetected
3.30527,8092887,5272972,WormholeDetected
3.40344,7528904,3443914,WormholeDetected
3.50349,6711906,3492918,WormholeDetected
3.60405,6068108,4052707,WormholeDetected
3.7054,5665028,5400681,NoWormhole
3.80649,5612159,6491781,NoWormhole
3.90633,5788083,6331374,NoWormhole
4.00627,5896741,6271253,NoWormhole
4.10448,5971643,4482941,NoWormhole
4.20575,5673903,5753448,NoWormhole
4.3055,5689812,5501918,NoWormhole
4.40649,5652233,6491667,NoWormhole
4.50456,5820120,4562832,NoWormhole
4.60645,5568662,6451461,NoWormhole
4.70468,5745222,4682168,NoWormhole
4.8087,5532611,8701550,WormholeDetected
4.90726,6166399,7261850,NoWormhole
5.00706,6385489,7063015,NoWormhole
5.10723,6520994,7226462,NoWormhole
5.20448,6662088,4482753,WormholeDetected
5.30714,6226221,7142364,NoWormhole
5.4075,6409450,7501874,NoWormhole
5.50671,6627935,6711762,NoWormhole
5.60653,6644700,6532238,NoWormhole
5.70401,6622208,4013304,WormholeDetected
5.80536,6100427,5359323,NoWormhole
5.90736,5952206,7361929,NoWormhole
6.00729,6234151,7286273,NoWormhole
6.10722,6444575,7222018,NoWormhole
6.207,6600064,7000934,NoWormhole
6.30667,6680238,6670070,NoWormhole
6.40826,6678204,8260839,NoWormhole
6.5045,6994731,4502306,WormholeDetected
6.60722,6496246,7222607,NoWormhole
6.70485,6641518,4852066,NoWormhole
6.80409,6283628,4092205,WormholeDetected
6.90233,5845343,2333462,WormholeDetected
7.0031,5142967,3103209,WormholeDetected
7.1033,4735015,3303689,NoWormhole
7.20554,4448750,5541848,NoWormhole
7.30676,4667370,6761999,WormholeDetected
7.40768,5086296,7681454,WormholeDetected
7.50635,5605328,6352730,NoWormhole
7.60725,5754808,7250374,NoWormhole
7.70864,6053921,8642971,WormholeDetected
7.80753,6571731,7529715,NoWormhole
7.90468,6763328,4682398,WormholeDetected
8.00738,6347142,7376485,NoWormhole
8.10487,6553011,4872751,NoWormhole
8.20656,6216959,6560186,NoWormhole
8.30805,6285604,8048357,NoWormhole
8.40618,6638155,6181699,NoWormhole
8.50454,6546864,4542975,WormholeDetected
8.60454,6146086,4543210,NoWormhole
8.70601,5825511,6008865,NoWormhole
8.80696,5862182,6961345,NoWormhole
8.90675,6082015,6751790,NoWormhole
9.00673,6215970,6732013,NoWormhole
9.10747,6319179,7466572,NoWormhole
9.20408,6548658,4082110,WormholeDetected
9.30648,6055348,6482429,NoWormhole
9.40492,6140764,4919748,NoWormhole
9.50716,5896561,7162007,NoWormhole
9.60436,6149650,4362973,NoWormhole
9.70457,5792315,4570762,NoWormhole
9.80359,5548004,3593435,NoWormhole
9.90334,5157090,3343950,NoWormhole
10.0074,4794462,7419237,WormholeDetected
10.1026,5319417,2593515,WormholeDetected
10.2076,4774237,7561590,WormholeDetected
10.3055,5331708,5519199,NoWormhole
10.4113,5369206,11250815,WormholeDetected
10.504,6545528,3960043,WormholeDetected
10.603,6028431,3042812,WormholeDetected
10.7053,5431307,5333159,NoWormhole
10.8065,5411677,6512490,NoWormhole
10.9089,5631840,8860305,WormholeDetected
11.0033,6277533,3330260,WormholeDetected
11.1094,5688078,9374679,WormholeDetected
11.2065,6425398,6452156,NoWormhole
11.3049,6430750,4912551,NoWormhole
11.4026,6127110,2553538,WormholeDetected
11.5075,5412396,7522306,WormholeDetected
11.606,5834378,5961984,NoWormhole
11.7069,5859899,6928356,NoWormhole
11.8044,6073590,4403083,NoWormhole
11.9048,5739489,4763237,NoWormhole
12.0053,5544239,5287956,NoWormhole
12.103,5492982,3023276,WormholeDetected
12.2056,4999041,5590150,NoWormhole
12.3081,5117263,8060262,WormholeDetected
12.4074,5705863,7422244,NoWormhole
12.5045,6049139,4523218,NoWormhole
12.6075,5743955,7462502,NoWormhole
12.7062,6087664,6203435,NoWormhole
12.8054,6110818,5372169,NoWormhole
12.9065,5963088,6493235,NoWormhole
13.0058,6069117,5847525,NoWormhole
13.1055,6024799,5528237,NoWormhole
13.2034,5925487,3384010,WormholeDetected
13.3042,5417192,4222990,NoWormhole
13.4059,5178352,5929542,NoWormhole
13.5048,5328590,4770876,NoWormhole
13.6087,5217047,8678904,WormholeDetected
13.7034,5909418,3384082,WormholeDetected
13.8078,5404351,7786141,WormholeDetected
13.9089,5880709,8878859,WormholeDetected
14.005,6480339,4952244,NoWormhole
14.1045,6174720,4522543,NoWormhole
14.2043,5844285,4342716,NoWormhole
14.3044,5543971,4443304,NoWormhole
14.4072,5323838,7201545,NoWormhole
14.5071,5699379,7129200,NoWormhole
14.6063,5985343,6273721,NoWormhole
14.7086,6043019,8641868,WormholeDetected
14.8052,6562789,5233340,NoWormhole
14.9065,6296899,6453327,NoWormhole
15.0053,6328185,5292629,NoWormhole
15.1048,6121074,4793194,NoWormhole
15.2042,5855498,4233352,NoWormhole
15.306,5531069,5963255,NoWormhole
15.4046,5617506,4642604,NoWormhole
15.5066,5422526,6552565,NoWormhole
15.6075,5648534,7522011,NoWormhole
15.7063,6023229,6320639,NoWormhole
15.8025,6082711,2513900,WormholeDetected
15.9057,5368949,5744342,NoWormhole
16.0056,5444028,5577951,NoWormhole
16.1042,5470813,4212827,NoWormhole
16.2046,5219216,4590325,NoWormhole
16.3089,5093438,8909683,WormholeDetected
16.4064,5856687,6432436,NoWormhole
16.5066,5971837,6574138,NoWormhole
16.6096,6092297,9578276,WormholeDetected
16.704,6789493,3973117,WormholeDetected
16.8083,6226218,8290386,WormholeDetected
16.9041,6639052,4081761,WormholeDetected
17.0061,6127594,6083696,NoWormhole
17.1068,6118814,6793528,NoWormhole
17.2076,6253757,7562498,NoWormhole
17.304,6515505,4013689,WormholeDetected
17.404,6015142,4033422,NoWormhole
17.5053,5618798,5252277,NoWormhole
17.6046,5545494,4634375,NoWormhole
17.7085,5363270,8462207,WormholeDetected
17.8049,5983057,4913752,NoWormhole
17.9052,5769196,5153528,NoWormhole
18.0033,5646062,3302948,WormholeDetected
18.1058,5177439,5754389,NoWormhole
18.2058,5292829,5762512,NoWormhole
18.3039,5386766,3853256,NoWormhole
18.4026,5080064,2553642,WormholeDetected
18.5072,4574780,7192399,WormholeDetected
18.6087,5098304,8691385,WormholeDetected
18.704,5816920,3992549,NoWormhole
18.8027,5452046,2673908,WormholeDetected
18.904,4896418,4043330,NoWormhole
19.0045,4725800,4523355,NoWormhole
19.1065,4685311,6491296,NoWormhole
19.2066,5046508,6553550,NoWormhole
19.305,5347916,4973698,NoWormhole
19.4045,5273072,4482603,NoWormhole
19.5097,5114978,9720148,WormholeDetected
19.6039,6036012,3893014,WormholeDetected
19.7035,5607412,3532989,WormholeDetected
19.8038,5192527,3833017,NoWormhole
19.9033,4920625,3303323,NoWormhole
20.0063,4597165,6293338,NoWormhole
20.1058,4936400,5838058,NoWormhole
20.2058,5116732,5753846,NoWormhole
20.3032,5244155,3242947,WormholeDetected
20.4065,4843913,6492701,NoWormhole
20.5065,5173671,6532618,NoWormhole
20.6058,5445460,5783075,NoWormhole
20.706,5512983,5951345,NoWormhole
20.8025,5600655,2493904,WormholeDetected
20.9048,4979305,4763253,NoWormhole
21.0069,4936095,6853636,NoWormhole
21.1078,5319603,7817469,WormholeDetected
21.2076,5819176,7562817,NoWormhole
21.3042,6167904,4213160,NoWormhole
21.4034,5776955,3383209,WormholeDetected
21.5088,5298206,8800791,WormholeDetected
21.6076,5998723,7602710,NoWormhole
21.7071,6319520,7062146,NoWormhole
21.8044,6468045,4363300,WormholeDetected
21.9049,6047096,4933198,NoWormhole
22.0044,5824316,4372236,NoWormhole
22.1052,5533900,5219997,NoWormhole
22.2071,5471119,7082909,NoWormhole
22.3034,5793477,3383343,WormholeDetected
22.4034,5311450,3422956,NoWormhole
22.5066,4933751,6573203,NoWormhole
22.6059,5261641,5903484,NoWormhole
22.7064,5390010,6393096,NoWormhole
22.8024,5590627,2393648,WormholeDetected
22.9039,4951231,3852850,NoWormhole
23.0073,4731555,7262824,WormholeDetected
23.1052,5237809,5173090,NoWormhole
23.2095,5224865,9499905,WormholeDetected
23.3058,6079873,5822919,NoWormhole
23.4076,6028482,7582128,NoWormhole
23.5046,6339211,4623560,NoWormhole
23.6032,5996081,3203851,WormholeDetected
23.7067,5437635,6732308,NoWormhole
23.8085,5696570,8469050,WormholeDetected
23.9068,6251066,6792468,NoWormhole
24.004,6359346,4038610,WormholeDetected
24.1076,5895199,7630562,NoWormhole
24.2024,6242272,2353652,WormholeDetected
24.3075,5464548,7503396,WormholeDetected
24.4072,5872318,7241805,NoWormhole
24.5075,6146215,7523003,NoWormhole
24.6071,6421573,7123521,NoWormhole
24.7046,6561963,4583527,NoWormhole
24.8052,6166276,5234070,NoWormhole
24.904,5979835,3973093,WormholeDetected
25.005,5578487,5013732,NoWormhole
25.1036,5465536,3584355,NoWormhole
25.2067,5089300,6692824,NoWormhole
25.3066,5410005,6593383,NoWormhole
25.4057,5646681,5703268,NoWormhole
25.5066,5657998,6553561,NoWormhole
25.6037,5837111,3742968,WormholeDetected
25.705,5418282,5033274,NoWormhole
25.804,5341280,3974311,NoWormhole
25.9025,5067886,2493898,WormholeDetected
26.0074,4553088,7402497,WormholeDetected
26.1041,5122970,4123269,NoWormhole
26.2075,4923030,7461965,WormholeDetected
26.3068,5430817,6774230,NoWormhole
26.4044,5699500,4430980,NoWormhole
26.5072,5445796,7162962,NoWormhole
26.6023,5789229,2253659,WormholeDetected
26.7045,5082115,4523356,NoWormhole
26.8064,4970363,6353134,NoWormhole
26.9075,5246917,7522136,WormholeDetected
27.0083,5701961,8297034,WormholeDetected
27.108,6220976,8045880,NoWormhole
27.2043,6585957,4323044,WormholeDetected
27.306,6133374,6003806,NoWormhole
27.4042,6107460,4193465,NoWormhole
27.5065,5724661,6493100,NoWormhole
27.6034,5878349,3383338,WormholeDetected
27.7046,5379347,4583374,NoWormhole
27.8068,5220152,6833836,NoWormhole
27.9086,5542889,8599899,WormholeDetected
28.0071,6154291,7143350,NoWormhole
28.1042,6352103,4210611,WormholeDetected
28.2071,5923805,7122381,NoWormhole
28.3029,6163520,2893665,WormholeDetected
28.4066,5509549,6573538,NoWormhole
28.5044,5722347,4443287,NoWormhole
28.6089,5466535,8882031,WormholeDetected
28.7061,6149634,6063392,NoWormhole
28.8093,6132386,9271020,WormholeDetected
28.9051,6760113,5114542,NoWormhole
29.0088,6430999,8784717,WormholeDetected
29.1051,6901743,5067503,NoWormhole
29.2061,6534895,6063027,NoWormhole
29.3075,6440521,7543258,NoWormhole
29.4052,6661068,5152560,NoWormhole
29.5068,6359366,6753960,NoWormhole
29.6046,6438285,4623849,NoWormhole
29.7064,6075398,6433181,NoWormhole
29.8047,6146955,4683343,NoWormhole
29.9044,5854233,4442986,NoWormhole
30.0071,5571984,7130166,NoWormhole
30.1052,5883620,5232954,NoWormhole
30.2035,5753487,3471673,WormholeDetected
30.3046,5297124,4643470,NoWormhole
30.4057,5166393,5749962,NoWormhole
30.5038,5283107,3753258,NoWormhole
30.6032,4977137,3164475,NoWormhole
30.7036,4614605,3573075,NoWormhole
30.8048,4406299,4752964,NoWormhole
30.906,4475632,5972095,NoWormhole
