NetType,Scenario,VaryingParamName,ParamValue,Throughput,Delay,PDR,DropRatio,Energy
wired,attack,Coverage,1.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,2.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,3.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,4.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Coverage,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Flows,10.000000,1.815059,2417.310581,42.410607,57.047904,0.000000
wired,attack,Flows,15.000000,1.829081,3516.073386,28.504350,70.853801,0.000000
wired,attack,Flows,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Flows,25.000000,1.842517,5588.019246,17.242998,82.041285,0.000000
wired,attack,Flows,30.000000,0.167492,5215.003729,1.306769,124.230220,0.000000
wired,attack,Flows,35.000000,0.140510,5072.459326,0.940053,118.859592,0.000000
wired,attack,Flows,40.000000,0.123816,4892.346331,0.725129,115.740137,0.000000
wired,attack,Flows,45.000000,0.119496,4854.824582,0.622337,113.501692,0.000000
wired,attack,Flows,50.000000,0.114919,4834.040323,0.538884,110.802060,0.000000
wired,attack,Nodes,100.000000,1.669790,5000.317731,19.524829,79.779110,0.000000
wired,attack,Nodes,10.000000,1.995437,2216.385098,23.332620,76.402397,0.000000
wired,attack,Nodes,15.000000,1.929759,3228.326835,22.564640,76.963185,0.000000
wired,attack,Nodes,20.000000,1.526424,4300.456427,17.848459,81.552654,0.000000
wired,attack,Nodes,25.000000,1.032004,4520.740189,12.067209,86.164812,0.000000
wired,attack,Nodes,30.000000,0.783201,4964.526431,9.157962,90.059503,0.000000
wired,attack,Nodes,35.000000,1.249505,4738.493587,14.610445,86.398116,0.000000
wired,attack,Nodes,40.000000,0.251915,4837.348198,2.945634,100.389127,0.000000
wired,attack,Nodes,45.000000,0.356656,4837.086732,4.170377,102.601884,0.000000
wired,attack,Nodes,50.000000,1.870597,4478.212173,21.872860,77.443493,0.000000
wired,attack,Nodes,5.000000,1.998220,1210.611484,23.365154,76.576627,0.000000
wired,attack,Nodes,55.000000,1.858003,4523.699096,21.725599,77.588613,0.000000
wired,attack,Nodes,60.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Nodes,65.000000,1.816340,4618.172673,21.238442,78.077055,0.000000
wired,attack,Nodes,70.000000,1.795326,4671.809733,20.992723,78.317209,0.000000
wired,attack,Nodes,75.000000,1.774348,4721.987737,20.747432,78.566353,0.000000
wired,attack,Nodes,80.000000,1.753371,4777.577580,20.502140,78.812928,0.000000
wired,attack,Nodes,85.000000,1.732576,4830.037332,20.258990,79.048373,0.000000
wired,attack,Nodes,90.000000,1.711855,4883.003036,20.016695,79.288955,0.000000
wired,attack,Nodes,95.000000,1.690841,4940.872396,19.770976,79.537671,0.000000
wired,attack,PPS,100.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,PPS,150.000000,1.836952,4640.773314,14.319226,85.219885,0.000000
wired,attack,PPS,200.000000,1.837208,4769.797147,10.740765,88.905441,0.000000
wired,attack,PPS,250.000000,1.837172,4938.478278,8.592367,91.110731,0.000000
wired,attack,PPS,300.000000,1.836988,5139.755480,7.159347,92.551579,0.000000
wired,attack,PPS,350.000000,1.836952,5387.732303,6.136611,93.509937,0.000000
wired,attack,PPS,400.000000,1.837245,5604.570367,5.370374,94.128695,0.000000
wired,attack,PPS,450.000000,1.837135,5881.483723,4.773279,94.899600,0.000000
wired,attack,PPS,500.000000,1.836439,6134.865026,4.294398,95.321125,0.000000
wired,attack,Speed,10.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Speed,15.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Speed,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Speed,25.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,attack,Speed,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,baseline,Coverage,1.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Coverage,2.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Coverage,3.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Coverage,4.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Coverage,5.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Flows,10.000000,1.815462,2420.266255,42.420017,57.054748,0.000000
wired,baseline,Flows,15.000000,1.829117,3511.419294,28.504921,70.854372,0.000000
wired,baseline,Flows,20.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Flows,25.000000,1.842663,5585.651477,17.244368,82.042655,0.000000
wired,baseline,Flows,30.000000,0.392132,6776.146975,3.059412,105.208512,0.000000
wired,baseline,Flows,35.000000,0.141755,5137.119425,0.948380,115.566469,0.000000
wired,baseline,Flows,40.000000,0.118727,4752.790966,0.695326,112.043954,0.000000
wired,baseline,Flows,45.000000,0.123449,4993.696510,0.642929,113.395300,0.000000
wired,baseline,Flows,50.000000,0.121546,4903.341682,0.569957,111.153133,0.000000
wired,baseline,Nodes,100.000000,1.669826,5002.892511,19.525257,79.779110,0.000000
wired,baseline,Nodes,10.000000,1.994009,2214.243185,23.315925,76.417380,0.000000
wired,baseline,Nodes,15.000000,1.910648,3237.532255,22.341182,77.190925,0.000000
wired,baseline,Nodes,20.000000,1.513062,4308.827290,17.692209,81.726884,0.000000
wired,baseline,Nodes,25.000000,1.361679,4466.764278,15.922089,83.449914,0.000000
wired,baseline,Nodes,30.000000,1.278171,4533.575185,14.945634,84.371147,0.000000
wired,baseline,Nodes,35.000000,0.830612,5210.182585,9.712329,89.518836,0.000000
wired,baseline,Nodes,40.000000,1.788334,4466.895051,20.910959,78.408818,0.000000
wired,baseline,Nodes,45.000000,0.328869,4847.854994,3.845462,102.074914,0.000000
wired,baseline,Nodes,50.000000,0.217062,4649.798698,2.538099,110.363442,0.000000
wired,baseline,Nodes,5.000000,1.998037,1209.580290,23.363014,76.579623,0.000000
wired,baseline,Nodes,55.000000,1.858039,4522.698038,21.726027,77.590325,0.000000
wired,baseline,Nodes,60.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Nodes,65.000000,1.816084,4622.558624,21.235445,78.076199,0.000000
wired,baseline,Nodes,70.000000,1.795436,4671.311919,20.994007,78.319349,0.000000
wired,baseline,Nodes,75.000000,1.774568,4722.921217,20.750000,78.560788,0.000000
wired,baseline,Nodes,80.000000,1.753407,4777.684934,20.502568,78.806935,0.000000
wired,baseline,Nodes,85.000000,1.732503,4830.326389,20.258134,79.048801,0.000000
wired,baseline,Nodes,90.000000,1.711745,4884.129425,20.015411,79.287671,0.000000
wired,baseline,Nodes,95.000000,1.690841,4941.998634,19.770976,79.533390,0.000000
wired,baseline,PPS,100.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,PPS,150.000000,1.836879,4638.525702,14.318655,85.214178,0.000000
wired,baseline,PPS,200.000000,1.836915,4768.473808,10.739052,88.899448,0.000000
wired,baseline,PPS,250.000000,1.837062,4945.428466,8.591853,91.110731,0.000000
wired,baseline,PPS,300.000000,1.836988,5162.330918,7.159347,92.561567,0.000000
wired,baseline,PPS,350.000000,1.836988,5340.047387,6.136733,93.565951,0.000000
wired,baseline,PPS,400.000000,1.837135,5650.475596,5.370053,94.148492,0.000000
wired,baseline,PPS,450.000000,1.836988,5885.458587,4.772898,94.786596,0.000000
wired,baseline,PPS,500.000000,1.836952,6102.788142,4.295596,95.103589,0.000000
wired,baseline,Speed,10.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,15.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,20.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,25.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,baseline,Speed,5.000000,1.837208,4573.277193,21.482449,77.832192,0.000000
wired,defense,Coverage,1.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,2.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,3.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,4.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Flows,10.000000,1.815059,2417.310581,42.410607,57.047904,0.000000
wired,defense,Flows,15.000000,1.829081,3516.073386,28.504350,70.853801,0.000000
wired,defense,Flows,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Flows,25.000000,1.842517,5588.019246,17.242998,82.041285,0.000000
wired,defense,Flows,30.000000,0.224420,5957.971484,1.750928,118.624964,0.000000
wired,defense,Flows,35.000000,0.135567,4946.017721,0.906987,113.937665,0.000000
wired,defense,Flows,40.000000,0.121070,4797.378215,0.709048,115.835334,0.000000
wired,defense,Flows,45.000000,0.119898,4873.684147,0.624434,113.897898,0.000000
wired,defense,Flows,50.000000,0.115066,4839.253491,0.539571,111.177167,0.000000
wired,defense,Nodes,100.000000,1.669790,5000.317731,19.524829,79.779110,0.000000
wired,defense,Nodes,10.000000,1.995767,2211.646781,23.336473,76.398116,0.000000
wired,defense,Nodes,15.000000,1.723094,3280.257269,20.148116,79.403253,0.000000
wired,defense,Nodes,20.000000,1.461698,4316.457616,17.091610,82.306507,0.000000
wired,defense,Nodes,25.000000,1.113535,4581.074223,13.020548,86.432791,0.000000
wired,defense,Nodes,30.000000,0.724991,4998.827464,8.477312,90.913099,0.000000
wired,defense,Nodes,35.000000,0.897059,5364.088357,10.489298,90.408390,0.000000
wired,defense,Nodes,40.000000,0.249096,4788.391018,2.912671,99.915240,0.000000
wired,defense,Nodes,45.000000,0.356583,4833.104793,4.169521,103.723459,0.000000
wired,defense,Nodes,50.000000,1.825896,4515.429249,21.350171,77.972603,0.000000
wired,defense,Nodes,5.000000,1.997780,1209.960018,23.360017,76.578767,0.000000
wired,defense,Nodes,55.000000,1.858003,4523.699096,21.725599,77.588613,0.000000
wired,defense,Nodes,60.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Nodes,65.000000,1.816340,4618.172673,21.238442,78.077055,0.000000
wired,defense,Nodes,70.000000,1.795326,4671.809733,20.992723,78.317209,0.000000
wired,defense,Nodes,75.000000,1.774348,4721.987737,20.747432,78.566353,0.000000
wired,defense,Nodes,80.000000,1.753371,4777.577580,20.502140,78.812928,0.000000
wired,defense,Nodes,85.000000,1.732576,4830.037332,20.258990,79.048373,0.000000
wired,defense,Nodes,90.000000,1.711855,4883.003036,20.016695,79.288955,0.000000
wired,defense,Nodes,95.000000,1.690841,4940.872396,19.770976,79.537671,0.000000
wired,defense,PPS,100.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,PPS,150.000000,1.836952,4640.773314,14.319226,85.219885,0.000000
wired,defense,PPS,200.000000,1.837208,4769.797147,10.740765,88.905441,0.000000
wired,defense,PPS,250.000000,1.837172,4938.478278,8.592367,91.110731,0.000000
wired,defense,PPS,300.000000,1.836988,5139.755480,7.159347,92.551579,0.000000
wired,defense,PPS,350.000000,1.836952,5387.732303,6.136611,93.509937,0.000000
wired,defense,PPS,400.000000,1.837245,5604.570367,5.370374,94.128695,0.000000
wired,defense,PPS,450.000000,1.837135,5881.483723,4.773279,94.899600,0.000000
wired,defense,PPS,500.000000,1.836439,6134.865026,4.294398,95.321125,0.000000
wired,defense,Speed,10.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Speed,15.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Speed,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Speed,25.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Speed,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wireless,attack,Coverage,1.000000,0.082885,88.891669,0.969178,98.510274,4316.404923
wireless,attack,Coverage,2.000000,0.029215,83.180710,0.341610,99.137842,4313.744631
wireless,attack,Coverage,3.000000,0.029654,186.711268,0.346747,99.122003,4313.444084
wireless,attack,Coverage,4.000000,0.028043,40.606134,0.327911,99.124144,4313.529214
wireless,attack,Coverage,5.000000,0.034743,296.288056,0.406250,99.045805,4313.617910
wireless,attack,Flows,10.000000,0.046202,102.241227,1.079555,98.372968,4315.098201
wireless,attack,Flows,15.000000,0.063628,94.009696,0.991585,97.983740,4330.216518
wireless,attack,Flows,20.000000,0.082885,88.891669,0.969178,98.510274,4316.404923
wireless,attack,Flows,25.000000,0.122571,122.235030,1.147066,98.287623,4318.726512
wireless,attack,Flows,30.000000,0.127660,117.204190,0.996001,98.121394,4324.103897
wireless,attack,Flows,35.000000,0.201649,189.592731,1.349091,97.928847,4323.898450
wireless,attack,Flows,40.000000,0.241371,122.486964,1.413593,97.976415,4320.096753
wireless,attack,Flows,45.000000,0.282118,155.289528,1.469279,97.668716,4327.508571
wireless,attack,Flows,50.000000,0.301485,165.432957,1.413734,98.033648,4322.822522
wireless,attack,Nodes,100.000000,0.116018,118.562076,1.356592,98.037243,7197.375703
wireless,attack,Nodes,10.000000,0.065496,9.493046,0.765839,98.960188,719.792536
wireless,attack,Nodes,15.000000,0.070951,52.110939,0.829623,98.773116,1079.702198
wireless,attack,Nodes,20.000000,0.133298,219.948485,1.558647,97.485873,1441.655810
wireless,attack,Nodes,25.000000,0.190556,89.830224,2.228168,97.237586,1799.330841
wireless,attack,Nodes,30.000000,0.072195,218.148407,0.844178,98.269692,2161.987325
wireless,attack,Nodes,35.000000,0.076039,168.015794,0.889127,98.608305,2517.657009
wireless,attack,Nodes,40.000000,0.204651,74.582535,2.392979,97.059075,2878.536569
wireless,attack,Nodes,45.000000,0.093722,198.968568,1.095890,98.478168,3237.758658
wireless,attack,Nodes,50.000000,0.040381,212.140822,0.472175,98.607449,3604.313557
wireless,attack,Nodes,5.000000,0.044115,2.577060,0.515839,99.360873,360.344382
wireless,attack,Nodes,55.000000,0.195718,76.495972,2.288527,97.160959,3956.669597
wireless,attack,Nodes,60.000000,0.082885,88.891669,0.969178,98.510274,4316.404923
wireless,attack,Nodes,65.000000,0.057148,89.300278,0.668236,98.516695,4674.141531
wireless,attack,Nodes,70.000000,0.072342,99.968780,0.845890,98.633562,5033.651361
wireless,attack,Nodes,75.000000,0.088487,128.673483,1.034675,98.487586,5397.238299
wireless,attack,Nodes,80.000000,0.095479,81.075225,1.116438,98.190497,5753.720919
wireless,attack,Nodes,85.000000,0.086107,70.336619,1.006849,98.140411,6129.612895
wireless,attack,Nodes,90.000000,0.232401,49.047520,2.717466,96.471318,6494.110767
wireless,attack,Nodes,95.000000,0.131687,85.307332,1.539812,97.913099,6836.638456
wireless,attack,PPS,100.000000,0.082885,88.891669,0.969178,98.510274,4316.404923
wireless,attack,PPS,150.000000,0.115176,79.123532,0.897805,98.021175,4323.872472
wireless,attack,PPS,200.000000,0.155630,43.860606,0.909850,98.829887,4319.502314
wireless,attack,PPS,250.000000,0.162952,33.874331,0.762118,98.943890,4319.137623
wireless,attack,PPS,300.000000,0.183234,31.019899,0.714123,98.622549,4323.533170
wireless,attack,PPS,350.000000,0.254111,34.080288,0.848896,99.002385,4330.356663
wireless,attack,PPS,400.000000,0.272489,22.514077,0.796503,98.694968,4325.873690
wireless,attack,PPS,450.000000,0.286438,22.673414,0.744229,98.760951,4324.229198
wireless,attack,PPS,500.000000,0.337985,26.404292,0.790357,99.105541,4322.508056
wireless,attack,Speed,10.000000,0.082885,88.891669,0.969178,98.510274,4316.404923
wireless,attack,Speed,15.000000,0.052060,119.693176,0.608733,98.898116,4316.486381
wireless,attack,Speed,20.000000,0.052792,146.725471,0.617295,98.915240,4319.772257
wireless,attack,Speed,25.000000,0.075454,88.854348,0.882277,98.392551,4318.519880
wireless,attack,Speed,5.000000,0.095369,41.974856,1.115154,98.006421,4316.959222
wireless,baseline,Coverage,1.000000,0.084057,79.978694,0.982877,98.496575,4317.259420
wireless,baseline,Coverage,2.000000,0.029215,83.181061,0.341610,99.137842,4313.701330
wireless,baseline,Coverage,3.000000,0.029654,186.703367,0.346747,99.122432,4313.410440
wireless,baseline,Coverage,4.000000,0.028043,40.606134,0.327911,99.124144,4313.499507
wireless,baseline,Coverage,5.000000,0.034743,296.288056,0.406250,99.045805,4313.585513
wireless,baseline,Flows,10.000000,0.046202,102.212582,1.079555,98.372968,4315.045343
wireless,baseline,Flows,15.000000,0.064690,76.676474,1.008130,98.444159,4315.283807
wireless,baseline,Flows,20.000000,0.084057,79.978694,0.982877,98.496575,4317.259420
wireless,baseline,Flows,25.000000,0.122315,140.089228,1.144668,98.288308,4318.657533
wireless,baseline,Flows,30.000000,0.134249,111.856924,1.047415,98.407883,4319.780815
wireless,baseline,Flows,35.000000,0.213950,172.050678,1.431388,97.977344,4319.894823
wireless,baseline,Flows,40.000000,0.247704,141.872934,1.450686,98.031732,4320.130361
wireless,baseline,Flows,45.000000,0.276736,130.652837,1.441251,97.785023,4327.574014
wireless,baseline,Flows,50.000000,0.293467,130.347939,1.376137,97.905236,4322.469638
wireless,baseline,Nodes,100.000000,0.113199,124.869198,1.323630,98.074058,7195.362114
wireless,baseline,Nodes,10.000000,0.065496,9.497559,0.765839,98.960188,719.750075
wireless,baseline,Nodes,15.000000,0.070438,53.982131,0.823630,98.779110,1079.325257
wireless,baseline,Nodes,20.000000,0.132675,188.681835,1.551370,97.981592,1439.913092
wireless,baseline,Nodes,25.000000,0.190556,89.824655,2.228168,97.237586,1799.155570
wireless,baseline,Nodes,30.000000,0.072195,226.608307,0.844178,98.627568,2158.497183
wireless,baseline,Nodes,35.000000,0.076515,164.624813,0.894692,98.602740,2517.515202
wireless,baseline,Nodes,40.000000,0.204614,74.594687,2.392551,97.059503,2878.491052
wireless,baseline,Nodes,45.000000,0.092551,192.433256,1.082192,98.452055,3237.153078
wireless,baseline,Nodes,50.000000,0.042871,200.299467,0.501284,98.957620,3596.603380
wireless,baseline,Nodes,5.000000,0.044811,2.561884,0.523973,99.352740,360.301834
wireless,baseline,Nodes,55.000000,0.195645,76.643499,2.287671,97.162243,3956.640586
wireless,baseline,Nodes,60.000000,0.084057,79.978694,0.982877,98.496575,4317.259420
wireless,baseline,Nodes,65.000000,0.057002,92.038120,0.666524,98.518836,4674.620210
wireless,baseline,Nodes,70.000000,0.070108,71.767388,0.819777,98.659675,5034.599611
wireless,baseline,Nodes,75.000000,0.092331,122.101095,1.079623,98.428938,5396.772326
wireless,baseline,Nodes,80.000000,0.096248,84.164668,1.125428,98.181935,5753.550088
wireless,baseline,Nodes,85.000000,0.090610,83.228582,1.059503,97.766267,6132.187193
wireless,baseline,Nodes,90.000000,0.233976,55.854161,2.735873,96.714469,6479.077868
wireless,baseline,Nodes,95.000000,0.110087,82.380118,1.287243,97.448630,6882.131249
wireless,baseline,PPS,100.000000,0.084057,79.978694,0.982877,98.496575,4317.259420
wireless,baseline,PPS,150.000000,0.112027,46.276125,0.873263,98.779715,4318.932246
wireless,baseline,PPS,200.000000,0.148198,48.343839,0.866401,98.873336,4320.308768
wireless,baseline,PPS,250.000000,0.162952,33.864567,0.762118,98.912042,4318.446445
wireless,baseline,PPS,300.000000,0.191984,28.049272,0.748224,98.955854,4318.837113
wireless,baseline,PPS,350.000000,0.240712,39.245883,0.804134,98.677552,4334.972846
wireless,baseline,PPS,400.000000,0.270952,18.717394,0.792008,98.706312,4325.349524
wireless,baseline,PPS,450.000000,0.301741,25.571209,0.783989,98.721190,4324.676106
wireless,baseline,PPS,500.000000,0.338974,29.323563,0.792668,99.103229,4322.542601
wireless,baseline,Speed,10.000000,0.084057,79.978694,0.982877,98.496575,4317.259420
wireless,baseline,Speed,15.000000,0.053048,117.029314,0.620291,98.886558,4316.972825
wireless,baseline,Speed,20.000000,0.054732,196.369302,0.639983,98.919521,4318.897110
wireless,baseline,Speed,25.000000,0.072927,75.835558,0.852740,98.174658,4318.512030
wireless,baseline,Speed,5.000000,0.099653,38.837097,1.165240,97.978596,4317.642522
wireless,defense,Coverage,1.000000,0.090757,67.848311,1.061216,98.115154,4321.335051
wireless,defense,Coverage,2.000000,0.029471,82.098921,0.344606,99.162243,4313.726275
wireless,defense,Coverage,3.000000,0.029618,186.692509,0.346318,99.122432,4313.443712
wireless,defense,Coverage,4.000000,0.028007,40.379491,0.327483,99.124572,4313.528843
wireless,defense,Coverage,5.000000,0.034706,296.486522,0.405822,99.046233,4313.617538
wireless,defense,Flows,10.000000,0.059235,72.838356,1.384089,98.123182,4315.171810
wireless,defense,Flows,15.000000,0.081604,58.450486,1.271716,98.217087,4315.388650
wireless,defense,Flows,20.000000,0.090757,67.848311,1.061216,98.115154,4321.335051
wireless,defense,Flows,25.000000,0.135824,103.342612,1.271092,98.134818,4317.714148
wireless,defense,Flows,30.000000,0.157131,89.305118,1.225935,98.158812,4318.050898
wireless,defense,Flows,35.000000,0.227203,162.542901,1.520054,97.970241,4318.521186
wireless,defense,Flows,40.000000,0.262275,84.400958,1.536021,97.832762,4319.562981
wireless,defense,Flows,45.000000,0.303352,94.836124,1.579866,97.617808,4328.428668
wireless,defense,Flows,50.000000,0.310894,81.701442,1.457854,97.840172,4332.949174
wireless,defense,Nodes,100.000000,0.128648,115.006574,1.504281,98.006421,7193.812151
wireless,defense,Nodes,10.000000,0.492956,2.132171,5.764127,93.961901,719.777589
wireless,defense,Nodes,15.000000,0.094857,30.824577,1.109161,98.493579,1080.221713
wireless,defense,Nodes,20.000000,0.230168,112.085191,2.691353,96.869007,1439.614897
wireless,defense,Nodes,25.000000,0.190556,89.830734,2.228168,97.237586,1799.320119
wireless,defense,Nodes,30.000000,0.072452,228.077124,0.847175,98.266695,2158.112110
wireless,defense,Nodes,35.000000,0.082629,164.372052,0.966182,98.530822,2517.243065
wireless,defense,Nodes,40.000000,0.204578,74.539073,2.392123,97.059932,2878.067926
wireless,defense,Nodes,45.000000,0.093319,198.566082,1.091182,98.443065,3237.110339
wireless,defense,Nodes,50.000000,0.044957,160.904938,0.525685,98.953767,3595.645803
wireless,defense,Nodes,5.000000,0.472198,1.376740,5.521404,94.355308,360.344396
wireless,defense,Nodes,55.000000,0.198317,74.926734,2.318921,97.130565,3956.038149
wireless,defense,Nodes,60.000000,0.090757,67.848311,1.061216,98.115154,4321.335051
wireless,defense,Nodes,65.000000,0.056306,92.641859,0.658390,98.461473,4673.535120
wireless,defense,Nodes,70.000000,0.080835,90.433871,0.945205,98.502140,5033.683176
wireless,defense,Nodes,75.000000,0.093429,143.377606,1.092466,98.414384,5395.416211
wireless,defense,Nodes,80.000000,0.123449,54.288547,1.443493,97.297945,5758.142903
wireless,defense,Nodes,85.000000,0.086876,69.045299,1.015839,98.132277,6128.584479
wireless,defense,Nodes,90.000000,0.271355,64.490459,3.172945,95.931935,6477.253602
wireless,defense,Nodes,95.000000,0.111405,75.986997,1.302654,97.440497,6867.148332
wireless,defense,PPS,100.000000,0.090757,67.848311,1.061216,98.115154,4321.335051
wireless,defense,PPS,150.000000,0.129417,54.813284,1.008818,98.313690,4322.449314
wireless,defense,PPS,200.000000,0.163208,31.895120,0.954154,98.441419,4323.372946
wireless,defense,PPS,250.000000,0.224823,26.014014,1.051487,98.740304,4318.902713
wireless,defense,PPS,300.000000,0.267950,23.615419,1.044288,98.791342,4319.305624
wireless,defense,PPS,350.000000,0.295407,16.094498,0.986853,98.872256,4321.588068
wireless,defense,PPS,400.000000,0.341719,13.194269,0.998866,98.877855,4320.985117
wireless,defense,PPS,450.000000,0.355119,13.363691,0.922676,98.967744,4321.050780
wireless,defense,PPS,500.000000,0.400881,27.363002,0.937436,98.963941,4321.213079
wireless,defense,Speed,10.000000,0.090757,67.848311,1.061216,98.115154,4321.335051
wireless,defense,Speed,15.000000,0.060260,120.402407,0.704623,98.425942,4318.340044
wireless,defense,Speed,20.000000,0.049534,103.928224,0.579195,98.532962,4316.959019
wireless,defense,Speed,25.000000,0.096468,74.378555,1.127997,98.331764,4317.176157
wireless,defense,Speed,5.000000,0.160755,25.518461,1.879709,97.599743,4316.931693
